# MODEL ATMOSPHERE NO.  6
#
#
#      Z         P        T     REL H    H2O                          AEROSOL
#     (KM)      (MB)     (K)     (%)  (GM / M3)  TYPE                 PROFILE
#                              [Before scaling]
#     2.250   770.655  273.53   52.18 2.596E+00 USER RAIN NO CLOUD  USER RAIN NO CLOUD  
#
#TOTAL COLUMN ABSORBER AMOUNTS FOR THE LINE-OF-SIGHT PATH:
#
#                 HNO3      O3 UV      CNTMSLF1    CNTMSLF2    CNTMFRN     N2 CONT     MOL SCAT
#               (ATM CM)   (ATM CM)   (MOL CM-2)  (MOL CM-2)  (MOL CM-2)             (550 NM EXT)
#            3.5216E-04  3.3824E-01  3.2010E+19  2.5522E+19  1.1881E+22  2.3466E+00  7.4361E-02
#
#
#                AER 1       AER 2       AER 3       AER 4      CIRRUS     WAT DROP    ICE PART   MEAN AER RH
#                                                                         (KM GM/M3)  (KM GM/M3)    (PRCNT)
#              0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000        0.00
#
#
#
#                H2O         O3          CO2         CO          CH4         N2O
#             (                                   ATM CM                                   )
#            6.3607E+02  3.3824E-01  2.2091E+02  6.1598E-02  1.0013E+00  1.8590E-01
#
#
#
#                O2          NH3         NO          NO2         SO2
#               (                      ATM CM                      )
#            1.2825E+05  8.3811E-05  2.5812E-04  2.0012E-04  5.9650E-05
#
#
#               CFC11       CFC12       CFC13       CFC14       CFC22      CFC113      CFC114
#             (                                    ATM CM                                    )
#            7.9177E-05  1.3973E-04  6.1363E-13  6.1363E-13  3.5415E-05  1.0965E-05  7.1047E-06
#
#
#              CFC115      CLONO2        HNO4      CHCL2F        CCL4        N2O5
#             (                                    ATM CM                                    )
#            6.1363E-13  3.8629E-05  4.1787E-05  6.1363E-13  7.2964E-05  2.7589E-06
#
#  wv(nm)     COMB_TR       H2O        O3    H2O_CT  MOL_SCAT   AER+CLD        O2 
  1022.495   0.99360   1.00000   1.00000   1.00000   0.99400   1.00000   0.99970 
  1021.972   0.99200   0.99840   1.00000   1.00000   0.99400   1.00000   0.99970 
  1021.450   0.99280   0.99910   1.00000   1.00000   0.99390   1.00000   0.99970 
  1020.929   0.99350   0.99990   1.00000   1.00000   0.99390   1.00000   0.99970 
  1020.408   0.99250   0.99880   1.00000   1.00000   0.99390   1.00000   0.99980 
  1019.888   0.99360   1.00000   1.00000   1.00000   0.99390   1.00000   0.99980 
  1019.368   0.98830   0.99460   1.00000   1.00000   0.99390   1.00000   0.99980 
  1018.849   0.99320   0.99960   1.00000   1.00000   0.99390   1.00000   0.99980 
  1018.330   0.99360   1.00000   1.00000   1.00000   0.99390   1.00000   0.99980 
  1017.812   0.99320   0.99960   1.00000   1.00000   0.99390   1.00000   0.99980 
  1017.294   0.99210   0.99850   1.00000   1.00000   0.99380   1.00000   0.99980 
  1016.777   0.99220   0.99860   1.00000   1.00000   0.99380   1.00000   0.99980 
  1016.260   0.99350   1.00000   1.00000   1.00000   0.99380   1.00000   0.99980 
  1015.744   0.99110   0.99750   1.00000   1.00000   0.99380   1.00000   0.99980 
  1015.228   0.99350   0.99990   1.00000   1.00000   0.99380   1.00000   0.99980 
  1014.713   0.99170   0.99810   1.00000   1.00000   0.99380   1.00000   0.99980 
  1014.199   0.99230   0.99880   1.00000   1.00000   0.99380   1.00000   0.99980 
  1013.685   0.99350   1.00000   1.00000   1.00000   0.99380   1.00000   0.99980 
  1013.171   0.99230   0.99880   1.00000   1.00000   0.99370   1.00000   0.99980 
  1012.658   0.99320   0.99970   1.00000   1.00000   0.99370   1.00000   0.99980 
  1012.146   0.99010   0.99660   1.00000   1.00000   0.99370   1.00000   0.99980 
  1011.634   0.99230   0.99880   1.00000   1.00000   0.99370   1.00000   0.99980 
  1011.122   0.99300   0.99950   1.00000   1.00000   0.99370   1.00000   0.99980 
  1010.611   0.99240   0.99890   1.00000   1.00000   0.99370   1.00000   0.99980 
  1010.101   0.99030   0.99690   1.00000   1.00000   0.99370   1.00000   0.99980 
  1009.591   0.98570   0.99230   1.00000   1.00000   0.99370   1.00000   0.99980 
  1009.082   0.98910   0.99570   1.00000   1.00000   0.99360   1.00000   0.99980 
  1008.573   0.99230   0.99890   1.00000   1.00000   0.99360   1.00000   0.99980 
